Copia csv recuperato al link https://bit.ly/3rncK55 su segnalazione di Wired Italia https://bit.ly/3cvH3lI,,,,,,
Nome Istituto,Codice Istituto,Nome Scuola,Codice scuola,Soggetto Scolastico,Settimana,Casi
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.40,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.43,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.44,2
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.46,3
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.47,1
Abbé J.M.Trèves,AOIP014000,Abbé J.M.Trèves,-,Docente,2020.48,1
Abbé J.M.Trèves,AOIP014000,infanzia  Antey-St-André,AO1A014030,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.43,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.45,2
Abbé J.M.Trèves,AOIP014000,primaria   Saint-Vincent Capoluogo,AO1E014010,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,primaria  Antey-St-André,AO1E014030,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,primaria  Antey-St-André,AO1E014030,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,primaria  Saint-Vincent Moron,AO1E014020,Studente,2020.46,2
Abbé J.M.Trèves,AOIP014000,primaria  Valtournenche Capoluogo,AO1E014050,Studente,2020.45,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.44,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.45,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Saint- Vincent,AO1M014010,Studente,2020.46,2
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Valtournenche,AO1M014020,Studente,2020.46,1
Abbé J.M.Trèves,AOIP014000,secondaria di primo grado Valtournenche,AO1M014020,Studente,2020.47,1
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Altro,2020.42,1
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Docente,2020.46,3
Abbé Prosper Duc,AOIP013000,Abbé Prosper Duc,-,Docente,2020.49,1
Abbé Prosper Duc,AOIP013000,infanzia Chambave,AO1A013010,Studente,2020.44,1
Abbé Prosper Duc,AOIP013000,infanzia Verrayes Champagnet,AO1A013060,Studente,2020.43,1
Abbé Prosper Duc,AOIP013000,primaria  Pontey,AO1E013040,Studente,2020.49,1
Abbé Prosper Duc,AOIP013000,primaria  Verrayes,AO1E013050,Studente,2020.43,1
Abbé Prosper Duc,AOIP013000,primaria  Verrayes,AO1E013050,Studente,2020.45,2
Abbé Prosper Duc,AOIP013000,secondaria di primo grado Châtillon,AO1M013010,Studente,2020.41,1
Abbé Prosper Duc,AOIP013000,secondaria di primo grado Châtillon,AO1M013010,Studente,2020.45,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.40,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.42,1
Abbé Prosper Duc,AOIP013000,primaria Châtillon capoluogo,AO1E013010,Studente,2020.44,1
Convitto Regionale Federico Chabod,-,Convitto Regionale Federico Chabod,-,Altro,2020.45,1
Convitto Regionale Federico Chabod,-,Convitto Regionale Federico Chabod,-,Altro,2020.46,2
Convitto Regionale Federico Chabod,-,Convitto Regionale Federico Chabod,-,Docente,2020.46,3
Convitto Regionale Federico Chabod,-,Convitto Regionale Federico Chabod,-,Altro,2020.47,1
Convitto Regionale Federico Chabod,-,Convitto Regionale Federico Chabod,-,Altro,2020.48,1
Emile Lexert,AOIP004000,Emile Lexert,-,Altro,2020.41,1
Emile Lexert,AOIP004000,Emile Lexert,-,Docente,2020.45,1
Emile Lexert,AOIP004000,Emile Lexert,-,Docente,2020.46,1
Emile Lexert,AOIP004000,Emile Lexert,-,Docente,2020.47,3
Emile Lexert,AOIP004000,Emile Lexert,-,Docente,2020.49,1
Emile Lexert,AOIP004000,primaria Ettore Ramires,AO1E004010,Studente,2020.43,1
Emile Lexert,AOIP004000,primaria Ettore Ramires,AO1E004010,Studente,2020.46,1
Emile Lexert,AOIP004000,secondaria di primo grado Emile Lexert,AO1M004010,Studente,2020.42,1
Emile Lexert,AOIP004000,secondaria di primo grado Emile Lexert,AO1M004010,Studente,2020.44,2
Emile Lexert,AOIP004000,secondaria di primo grado Emile Lexert,AO1M004010,Studente,2020.46,1
Emile Lexert,AOIP004000,secondaria di primo grado Emile Lexert,AO1M004010,Studente,2020.48,1
Emile Lexert,AOIP004000,secondaria di primo grado Emile Lexert,AO1M004010,Studente,2020.49,1
Eugenia Martinet,AOIP005000,Eugenia Martinet,-,Docente,2020.41,1
Eugenia Martinet,AOIP005000,Eugenia Martinet,-,Docente,2020.46,1
Eugenia Martinet,AOIP005000,Eugenia Martinet,-,Altro,2020.47,1
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.39,2
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.40,1
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.41,1
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.43,2
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.44,1
Eugenia Martinet,AOIP005000,"primaria ""Giovanni Pezzoli""",AO1E005010,Studente,2020.45,2
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.41,1
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.43,3
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.44,12
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.45,3
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.46,1
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.47,1
Eugenia Martinet,AOIP005000,"secondaria di primo grado ""J.B. Cerlogne""",AO1M005010,Studente,2020.48,1
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.41,1
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.42,2
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.44,1
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.45,1
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.46,3
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.47,1
O. Jacquemet,AOIP016000,Evançon 2,-,Docente,2020.48,1
O. Jacquemet,AOIP016000,infanzia di Verrès,AO1A016060,Studente,2020.45,1
O. Jacquemet,AOIP016000,primaria  Verrès,AO1E016060,Studente,2020.46,1
O. Jacquemet,AOIP016000,primaria  Verrès,AO1E016060,Studente,2020.48,1
O. Jacquemet,AOIP016000,primaria Issogne,AO1E016030,Studente,2020.46,1
O. Jacquemet,AOIP016000,primaria Issogne,AO1E016030,Studente,2020.48,1
Fondazione per la formazione professionale turistica,-,Percorsi triennali leFP,-,Studente,2020.42,2
Fondazione per la formazione professionale turistica,-,Percorsi triennali leFP,-,Studente,2020.44,1
Fondazione per la formazione professionale turistica,-,Percorsi triennali leFP,-,Studente,2020.45,1
Fondazione per la formazione professionale turistica,-,Percorsi triennali leFP,-,Studente,2020.46,1
Fondazione per la formazione professionale turistica,-,Percorsi triennali leFP,-,Studente,2020.47,1
Grand Combin,AOIP009000,Grand Combin,-,Docente,2020.45,2
Grand Combin,AOIP009000,Grand Combin,-,Docente,2020.46,3
Grand Combin,AOIP009000,Grand Combin,-,Docente,2020.47,5
Grand Combin,AOIP009000,Grand Combin,-,Docente,2020.48,1
Grand Combin,AOIP009000,primaria  Roisan,AO1E009050,Studente,2020.47,1
Grand Combin,AOIP009000,primaria Gignod,AO1E009020,Studente,2020.47,1
Grand Combin,AOIP009000,primaria Gignod,AO1E009020,Studente,2020.49,1
Grand Combin,AOIP009000,primaria Variney,AO1E009030,Studente,2020.44,1
Grand Combin,AOIP009000,primaria Variney,AO1E009030,Studente,2020.48,1
Grand Combin,AOIP009000,secondaria di primo grado Variney,AO1M009010,Studente,2020.45,1
Grand Combin,AOIP009000,secondaria di primo grado Variney,AO1M009010,Studente,2020.46,1
Grand Combin,AOIP009000,secondaria di primo grado Variney,AO1M009010,Studente,2020.47,1
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.40,1
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Docente,2020.41,2
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.41,3
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Docente,2020.42,1
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.42,3
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.43,10
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Docente,2020.44,3
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.44,2
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.45,2
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Altro,2020.48,1
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL,AORA025009,Studente,2020.49,1
INSTITUT AGRICOLE REGIONAL,AORA025009,INSTITUT AGRICOLE REGIONAL -Operatore agricolo (triennale),AORA02501M,Studente,2020.42,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Studente,2020.42,2
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Altro,2020.43,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Altro,2020.44,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Docente,2020.45,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Altro,2020.46,2
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Studente,2020.46,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Studente,2020.47,1
ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,ISTITUTO PROFESSIONALE REGIONALE ALBERGHIERO,AORR02000A,Altro,2020.49,1
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Docente,2020.40,1
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Docente,2020.41,4
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.41,3
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Docente,2020.42,5
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.42,6
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.43,11
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Docente,2020.44,3
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.44,1
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.45,1
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.46,6
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.47,3
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - professionale settore servizi e industria e artigianato",AORR01000A,Studente,2020.48,2
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.40,3
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.41,8
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.42,29
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.43,1
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.44,2
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.45,2
"Istituto tecnico e professionale regionale ""Corrado Gex""",AORR01000A,"Istituto tecnico e professionale regionale ""Corrado Gex"" - tecnico del settore economico e tecnologico",AORR01001X,Studente,2020.46,3
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Altro,2020.41,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Docente,2020.41,2
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Docente,2020.44,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Altro,2020.46,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scientifico)",AOPS02000L,Docente,2020.47,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scienze umane)",AOPM030008,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scienze umane)",AOPM030008,Studente,2020.44,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scienze umane)",AOPM030008,Studente,2020.46,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo scienze umane)",AOPM030008,Studente,2020.47,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: tecnico per il turismo)",AORR01002C,Studente,2020.42,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: tecnico per il turismo)",AORR01002C,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: tecnico per il turismo)",AORR01002C,Studente,2020.49,2
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - professionale settore servizi e industria e artigianato (servizi socio sanitar",AOTF010004,Studente,2020.41,2
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - professionale settore servizi e industria e artigianato (servizi socio sanitar",AOTF010004,Studente,2020.42,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - professionale settore servizi e industria e artigianato (servizi socio sanitar",AOTF010004,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - professionale settore servizi e industria e artigianato (servizi socio sanitar",AOTF010004,Studente,2020.44,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - professionale settore servizi e industria e artigianato (servizi socio sanitar",AOTF010004,Studente,2020.47,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Amministrazione Finanza Marketing",AORR01001B,Studente,2020.42,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Amministrazione Finanza Marketing",AORR01001B,Studente,2020.47,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Elettronica ed elettrotecnica)",AOTF02001X,Studente,2020.40,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Elettronica ed elettrotecnica)",AOTF02001X,Studente,2020.41,3
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Elettronica ed elettrotecnica)",AOTF02001X,Studente,2020.42,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Elettronica ed elettrotecnica)",AOTF02001X,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Elettronica ed elettrotecnica)",AOTF02001X,Studente,2020.48,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Informatica e Telecomunicazioni)",AOTF02002T,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Informatica e Telecomunicazioni)",AOTF02002T,Studente,2020.44,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale, tecnica e professionale - tecnico del settore economico e tecnologico (Informatica e Telecomunicazioni)",AOTF02002T,Studente,2020.46,2
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo linguistico)",AOPL02001D,Studente,2020.42,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo linguistico)",AOPL02001D,Studente,2020.43,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo linguistico)",AOPL02001D,Studente,2020.44,1
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo linguistico)",AOPL02001D,Studente,2020.45,2
Istituzione scolastica di istruzione liceale tecnica e professionale,AOPS02000L,"Istituzione scolastica di istruzione liceale,tecnica e professionale (Indirizzo: liceo linguistico)",AOPL02001D,Studente,2020.46,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Altro,2020.40,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Docente,2020.42,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Altro,2020.44,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Docente,2020.45,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Docente,2020.46,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",-,Docente,2020.47,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio) Istituzione scolastica di istruzione tecnic",AOTL010008,Studente,2020.41,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio) Istituzione scolastica di istruzione tecnic",AOTL010008,Studente,2020.42,2
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio) Istituzione scolastica di istruzione tecnic",AOTL010008,Studente,2020.43,4
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio) Istituzione scolastica di istruzione tecnic",AOTL010008,Studente,2020.47,2
